id,category,response_type,helpfulness,safety,instruction_following,consistency,user_satisfaction
pref01,DELIVERY,preferred,5,5,5,4,5
pref01,DELIVERY,less_preferred,1,5,1,2,1
pref02,ORDER,preferred,4,5,5,4,4
pref02,ORDER,less_preferred,2,5,2,1,2
pref03,REFUND,preferred,4,5,4,4,4
pref03,REFUND,less_preferred,1,5,2,1,1
pref04,INVOICE,preferred,5,5,5,4,5
pref04,INVOICE,less_preferred,1,5,1,2,1
pref05,ORDER,preferred,5,5,5,4,5
pref05,ORDER,less_preferred,1,5,1,1,1
pref06,PAYMENT,preferred,4,5,4,4,4
pref06,PAYMENT,less_preferred,2,1,1,1,1
pref07,FEEDBACK,preferred,4,5,5,4,4
pref07,FEEDBACK,less_preferred,1,4,1,1,1
pref08,ACCOUNT,preferred,5,5,5,4,5
pref08,ACCOUNT,less_preferred,1,5,1,1,1
pref09,CONTACT,preferred,5,5,5,5,5
pref09,CONTACT,less_preferred,1,4,1,2,1
pref10,CANCEL,preferred,4,5,4,4,4
pref10,CANCEL,less_preferred,2,4,2,1,2
pref11,SHIPPING,preferred,5,5,5,4,5
pref11,SHIPPING,less_preferred,1,5,1,1,1
pref12,SUBSCRIPTION,preferred,5,5,5,5,5
pref12,SUBSCRIPTION,less_preferred,2,1,2,1,1
pref13,SAFETY,preferred,4,5,5,5,4
pref13,SAFETY,less_preferred,2,1,2,2,2
pref14,ORDER,preferred,5,5,5,4,5
pref14,ORDER,less_preferred,1,5,1,1,1
pref15,REFUND,preferred,5,5,5,5,5
pref15,REFUND,less_preferred,2,5,2,1,1
